category,difficulty,question,option1,option2,option3,option4,answer
"マルウェア","初級","スパイウェアの主な動作はどれか？","データを暗号化","ユーザー情報を収集","システムを高速化","ネットワークを監視","ユーザー情報を収集"
"マルウェア","初級","ワームとウイルスの違いはどれか？","ワームは単独で増殖","ウイルスは単独で増殖","ワームはハードウェアを攻撃","ウイルスはネットワークを監視","ワームは単独で増殖"
"マルウェア","初級","ウイルス対策ソフトの主な機能はどれか？","データの圧縮","マルウェアの検出と駆除","ネットワークの高速化","パスワードの生成","マルウェアの検出と駆除"
"マルウェア","初級","マルウェア感染を防ぐ基本的な対策はどれか？","ソフトウェアを常に最新に保つ","パスワードを公開する","未知のメールを開く","ネットワークを暗号化","ソフトウェアを常に最新に保つ"
"マルウェア","中級","アドウェアの特徴はどれか？","データを暗号化","広告を無許可で表示","ネットワークを遮断","パスワードを盗む","広告を無許可で表示"
"マルウェア","中級","キーロガーの主な目的はどれか？","キーボード入力を記録","システムを高速化","データを圧縮","ネットワークを監視","キーボード入力を記録"
"マルウェア","中級","ルートキットの特徴はどれか？","システムに隠れて権限を取得","広告を表示","データを暗号化","ネットワークを高速化","システムに隠れて権限を取得"
"マルウェア","中級","ボットネットの特徴はどれか？","単一のコンピュータを攻撃","複数の感染デバイスを遠隔制御","データをバックアップ","パスワードを生成","複数の感染デバイスを遠隔制御"
"マルウェア","中級","マルウェアの感染経路として一般的なものはどれか？","公式サイトの更新","メールの添付ファイル","データの暗号化","ネットワークの監視","メールの添付ファイル"
"マルウェア","中級","フィッシング攻撃とマルウェアの関係はどれか？","フィッシングはマルウェアを直接配布","フィッシングはマルウェア感染の入口","フィッシングはデータを暗号化","フィッシングはネットワークを高速化","フィッシングはマルウェア感染の入口"
"マルウェア","中級","マルウェアの駆除で重要なことはどれか？","システムの再起動","ウイルス対策ソフトの更新とスキャン","ネットワークの切断のみ","パスワードの公開","ウイルス対策ソフトの更新とスキャン"
"マルウェア","上級","ゼロデイ攻撃を利用するマルウェアの特徴はどれか？","既知の脆弱性を悪用","未知の脆弱性を悪用","データを圧縮","ネットワークを公開","未知の脆弱性を悪用"
"マルウェア","上級","ファイルレスマルウェアの特徴はどれか？","ディスクにファイルを保存","メモリ上で動作","ネットワークを暗号化","パスワードを生成","メモリ上で動作"
"マルウェア","上級","マルウェアのC&Cサーバーの役割はどれか？","データの暗号化","感染デバイスへの指示送信","ネットワークの高速化","ユーザー認証","感染デバイスへの指示送信"
"マルウェア","上級","APT（持続的標的型攻撃）の特徴はどれか？","短期間の攻撃","特定ターゲットへの長期的な潜伏","データの圧縮","ネットワークの公開","特定ターゲットへの長期的な潜伏"
"マルウェア","上級","マルウェア対策としてのサンドボックスの役割はどれか？","マルウェアの動作を隔離環境で分析","データを暗号化","ネットワークを監視","パスワードを生成","マルウェアの動作を隔離環境で分析"
"マルウェア","上級","マルウェアのポリモーフィックウイルスの特徴はどれか？","コードを自己変形","データをバックアップ","ネットワークを高速化","ユーザー認証を強化","コードを自己変形"
